🍎,熟語部分（英訳）,熟語部分（和訳）,英文,和文
171,be inclined to V,① ～したい気がする ② ～する傾向がある,She is inclined to be lazy when she is not with her mother.,"彼女は母親と一緒でないと, 怠けてしまう傾向がある。"
171,feel inclined to V,① ～したい気がする ② ～する傾向がある,Get in contact with me if you feel inclined.,気が向いたら連絡してください。
172,keep ～ to oneself,～を秘密にしておく,Can you keep it to yourself?,そのことは秘密にしておいてくれませんか。
173,get on one’s nerves,～の神経に触れる ～をイライラさせる,The noise from the apartment upstairs got on my nerves.,上のアパートの物音が私をイライラさせた。
174,as it were,いわば,"He is, as it were, a walking dictionary.",彼はいわば生き字引だ。
175,in itself,それ自体,Studying is not an end in itself.,勉強はそれ自体が目的ではない。
176,on one’s part,～の側での,"Due to a misunderstanding on my part, Tom had to work till late at night.","私の誤解が原因で, トムは夜遅くまで仕事をしなければならなかった。"
177,be anxious about ～,～を心配している,I’m anxious about the results of the exam.,私は試験の結果を心配している。
177,be anxious for ～,～を切望している ～をしきりに求めている,He’s anxious for the new game.,彼はその新しいゲームをしきりに欲しがっている。
177,be anxious about ～,～を心配している,He is anxious to see the TV personality.,彼はその芸能人に会いたがっている。
178,get hold of ～,① ～と連絡を取る ② （入手困難なもの）を手に入れる,I’ve been trying to get hold of you all week.,一週間ずっとあなたと連絡を取ろうとしていたんだ。
178,get hold of ～,① ～と連絡を取る ② （入手困難なもの）を手に入れる,How did you get hold of the ticket for the Olympics?,オリンピックのチケットをどうやって手に入れたの?
179,be free from ～,① ～に囚われていない ～から解放されている ② ～がない,Social scientists should be free from bias.,社会科学者は偏見に囚われてはいけない。 
179,be free from ～,① ～に囚われていない ～から解放されている ② ～がない,The products will be delivered free of charge.,その商品は無料で配達されます。
180,be tired of ～,～にうんざりしている・～に飽き飽きしている,I’m tired of working in this factory.,私はこの工場で仕事をするのにうんざりしている。
180,be tired of ～,～にうんざりしている・～に飽き飽きしている,I’m tired from working in this factory.,私はこの工場で仕事をして疲れている。
181,be the case with ～,～に当てはまる,The same is also the case with Japanese people.,同じことが日本人についてもあてはまる。
181,be true of ～/ be true for ～,～に当てはまる,The same is also true of Japanese people.,同じことが日本人についてもあてはまる。
181,be the case with ～,～に当てはまる,The same can be said about Japanese people.,同じことが日本人についても言える。
182,be bound to V,①必ず～する ②～しなければならない,"After signing the contract, he was bound to fulfill its conditions.","契約にサインをしたので, 彼はその条件を満たさなければならなかった。"
182,be bound to V,①必ず～する ②～しなければならない,My son never fails to call me on my birthday.,"息子は必ず, 私の誕生日に電話をかけてくる。"
183,be carried away,夢中になっている 舞い上がっている,Bob was carried away by gambling.,ボブはギャンブルに夢中になっていた。
184,in the way of ～,～の邪魔になって,The big obstacle gets in the way of our progress.,その大きな障害が私たちの進行の邪魔になっている。
184,in the way of ～,～の邪魔になって,I got caught in a shower on my way to school.,学校に行く途中でにわか雨にあった。
185,together with ～,～と一緒に,Please send your photos together with your comments.,"コメントを添えて, あなたの写真を送ってください。"
186,get ～ across,～を理解させる ～を伝える,I can’t seem to get my point across to him.,私の言いたいことを彼に理解させることはできないようだ。
187,make oneself understood in 外国語,外国語で自分の言うことをわかってもらう,I couldn’t make myself understood in English.,私は英語で自分の言うことを理解してもらうことができなかった。
188,make oneself heard,自分の声を届かせる,I used a microphone to make myself heard.,私は自分の声を届かせるためにマイクを使った。
189,correspond to ～,～に一致する,The broad lines on the map correspond to roads.,地図上の太線は道路である。
190,keep an eye on ～,～から目を離さない,Be sure to keep an eye on the suspect.,その容疑者から絶対に目を離すな。
191,let 人 down,人をがっかりさせる,Don’t let me down as you did the other day.,この前のように私をがっかりさせないでね。
192,the other way around,（前後）逆さまに,"He said that a dog attacked him, but in fact it was the other way around.","彼は犬が自分を襲ったと言ったが, 実は逆だった。"
192,inside out,（表裏）逆さまに,I got my umbrella blown inside out by the wind.,強風で傘が逆さまになった。
192,inside out,（表裏）逆さまに,You are wearing the T-shirt inside out.,Tシャツを逆さまに着ているよ。
192,upside down,（上下）逆さまに,He put the cup upside down on the kitchen counter to dry.,彼は乾かすためにコップをキッチンカウンターに逆さまに置いた。
193,vice versa,その逆もまた同様である,Dogs dislike cats and vice versa.,"犬は猫が嫌いで, その逆もまた同様だ。"
194,end up Ving,結局～する羽目になる・最後には～してしまう,"At first I thought I would finish this job by myself, but I ended up asking other people for help.","初めは1人でこの仕事を終わらせると思っていたが, 結局他人の援助を求めた。"
194,end up Ving,結局～する羽目になる・最後には～してしまう,"At first they got along with each other, but their marriage ended up in divorce.","初めは, 問題なくやっていたが, 彼らの結婚生活は結局離婚となった。"
195,on (the) average,平均して,One person possesses 2.9 credit cards on average.,平均して１人当たり2.9枚のクレジットカードを持っている。
196,have second thoughts,考え直す 再考する,I had second thoughts about my trip to Vietnam and decided not to go.,"私はベトナム旅行を考え直して, 行かないことにした。"
196,have second thoughts,考え直す 再考する,"On second thought, we gave up our plan of going to see a movie.","考え直してみて, 私たちは映画を見に行くという計画を断念した。"
197,pass for ～,～として通用する,You could pass for a famous actress when you get dressed up.,"あなたはドレスアップしたら, 有名な女優と言っても通用するだろう。"
198,operate on ～,～に手術をする,My grandmother was operated on last week.,"先週, 私の祖母は手術を受けた。"
198,operate on ～,～に手術をする,Please show me how to operate this machine.,このコピー機をどのように使うかを教えて下さい。
198,operate on ～,～に手術をする,We need additional amounts of money to operate a business in another country.,別の国で事業を運営するためにはさらにお金が必要となる。
199,dawn on 人,（真相がだんだんと）人に分かってくる,It dawned on me that nobody trusted me.,誰も私のことを信頼していないということが分かってきた。
200,by and large,概して 概ね," By and large, high school students these days have a smartphone.","概ね, 最近の高校生はスマートフォン
を持っている。"
201,out of date,時代遅れの 【注】🍎 87 p.17 参照,This kind of cell phone is ten years out of date.,このタイプの携帯電話は 10 年古い。
202,on the increase,増加している,The sales of computers is on the increase this year.,コンピュータの売り上げが今年は増加している。
203,on a diet,ダイエット中で, She has been on a diet for more than three weeks.,彼女は 3 週間前からダイエット中だ。 
204,stand for ～,① ～を表す ② ～の略字である,G.D.P. stands for Gross Domestic Product.,"G.D.P.は国民総生産を意味する。
"
205,pay a visit to ～,～を訪問する," In Japan, people customarily pay their first visit to a shrine during the New Year holidays."," 日本では, 正月休暇中に, 神社に初詣をする習慣があります。"
206,break through ～,① ～を突破する ② （強引に）～の突破口を切り開く,He broke through the difficulty in the end.,彼は最終的にその困難を突破した。
207,break into ～,～に押し入る ～に侵入する,Someone broke into our house while we were away.,私たちの留守中に誰かが家に侵入した。
208,break down,故障する,The copy machine has broken down. It needs repairing.,"そのコピー機は故障してしまった。
修理が必要だ。"
209,come across ～,① ～に偶然出会う ② ～を偶然見つける,I came across my grandfather on the street.,私はその通りで祖父に偶然出会った。
210,in the first place,① まず第一に ② そもそも,You shouldn’t have done that in the first place.,"そもそもそんなことをするべきではなかったよ。
"
211,a couple of ～,"① 2 つの～ ② 2, 3 の～",I have been to New Zealand a couple of times.,"私は 2, 3 回ニュージーランドに行ったことがあります。"
212,have ～ at one’s disposal,～を人が自由に使える,Sam has an enormous amount of money at his disposal.,サムは莫大なお金を自由に使うことができる。
213,prepare for ～,～の準備をする,I prepared for dinner for my family.,私は家族のために夕食の下準備をした。
213,prepare ～,① ～の準備をする,I prepared dinner for my family.,私は家族のために夕食を作った。
213,be prepared for ～,① ～の準備が整っている,We are prepared for the worst.,私たちは最悪の事態に備えている。
214,amount to ～,① （総計で）～になる ～に達する ② （結局）～ということになる,The total expenses of the project amounted to more than one million yen.,その企画の費用総額が100 万円以上になった。
214,amount to ～,① （総計で）～になる ～に達する ② （結局）～ということになる,What you say and do to your coworkers amounts to harassment.,同僚へのあなたの発言や行為は嫌がらせになる。
215,in any case,いずれにしても とにかく,"In any case, I am supposed to go there tomorrow.","いずれにしても, 私は明日そこへ行くことになっている。"
216,be subject to ～,① ～を受けやすい ② ～に服従している,Japan is subject to typhoons.,日本は台風を受けやすい。
216,be subject to ～,① ～を受けやすい ② ～に服従している,Students are subject to the rules of the school.,生徒は学校の規則に従っている。
216,be subject to ～,① ～を受けやすい ② ～に服従している,She is subject to temptation.,彼女は誘惑されやすい。
217,to ○○○ extent,○○○の程度まで,What he says is true to some extent.,彼の発言はある程度までは真実だ。
218,in short,つまり 要するに,"My boss has handed a pink slip to me. In short, I was fired.","上司は私に解雇通知を手渡した。
 つまり, 私はクビになったのだ。"
219,all night long,一晩中,It was snowing heavily all night long.,一晩中激しく雪が降っていた。
220,on one’s own,①独力で ②自分ひとりで,Do you think he did the job on his own?,あなたは彼が独力でその仕事をやったと思いますか。
221,take advantage of ～,①～を利用する ②～につけこむ,I took advantage of every opportunity I had.,私は自分にある全ての機会を利用した。
221,take advantage of ～,①～を利用する ②～につけこむ,The player is tall and talented. So he has advantages over others.,"その選手は背が高くて才能がある。
 だから他の選手より有利だ。"
222,in case S V～,S V する場合に備えて,You should make a spare of this key in case you lose it.,なくしてはいけないから（なくす場合に備えて）スペアキーを作っておきなさい。
222,in case S V～,S V する場合に備えて,I’ll take an umbrella just in case.,念のために傘を持って行きます。
223,at present,現在は,"Generally she lives in New York, but at present she is living in Boston.","普段彼女はニューヨークに住んでいるが, 現在はボストンに暮らしている。"
224,hear from ～,～から連絡がある ～から便りがある,We have not heard from him since he left Japan.,"彼が日本を去ってから, 連絡がない。"
225,at the expense of ～,～を犠牲にして,Such an economic program will help the rich at the expense of the poor.,"そのような経済計画は貧しい人を犠牲にして, 裕福な人を助けることになる。"
225,at the expense of ～,～を犠牲にして,He performed his duty at the expense of his health.,彼は自分の健康を犠牲にして義務を果たした。
226,be about to V,まさに～しようとしている,I was about to leave home when it began to rain.,"家を出ようとしたら, そのとき雨が降り出した。"
227,apart from ～,① ～はさておき ～は別として ② ～と切り離して,"Apart from jokes, I’m going to say something serious.","冗談はさておき, 真面目なことを言います。"
227,aside from ～,～はさておき ～は別として,"All joking aside, let’s get started now.","冗談はさておいて, もう始めましょう。"
228,be equal to ～,① ～と等しい ② ～をする能力がある,She has recovered quickly. I’m sure she is equal to the job now.,彼女はすぐに回復した。 きっと今その仕事をする力があると思う。
229,be absorbed in ～,～に夢中になっている,I was absorbed in YouTube last night.,私は昨夜ユーチューブに夢中になっていた。
229,be (totally) into ～,～に(完全に)夢中になっている,I am totally into YouTube these days.,私は最近ユーチューブに完全に夢中になっている。
230,date back to ～,～までさかのぼる,Its history is believed to date back to Roman times.,その歴史はローマ時代までさかのぼると信じられている。
231,do 人a favor,人の頼み事をきく,Can you do me a favor?,私のお願いを聞いてくれますか。
232,do 人 harm / do 人 damage,人に害を与える,Smoking does people around you a lot of harm.,喫煙は周囲の人に多大な害を与える。
232,do 人 harm / do 人 damage,人に害を与える,Smoking does a lot of harm to people around you.,喫煙は周囲の人に多大な害を与える。
233,do 人 good,人に利益を与える・人のためになる,"Reading a wide variety of books will do you good.
",様々な本を読むことはあなたのためになる。
233,do 人 good,人に利益を与える・人のためになる,"Reading a wide variety of books will do you good.
",様々な本を読むことはあなたのためになる。
233,do 人 good,人に利益を与える・人のためになる,Smoking does more harm than good.,喫煙は百害あって一利なし。
234,apply A to B,A をB に合わせる A をB に適用する,It is impossible to apply this rule to all the cases.,この規則を全ての事例に当てはめるのは不可能だ。
234,apply for ～,～に申し込む,A lot of people applied for the job interview.,多くの人がその仕事の面接に申し込んだ。
235,pull up,① (乗り物)が止まる ② (乗り物)を止める,A car pulled up in front of the hotel.,ホテルの前に車が止まった。
236,tear ～ up,～を引き裂く,He got angry and tore up the letter from her.,"彼は怒って, 彼女からの手紙を引き裂いた。"
237,with a view to Ving,～するために,Andrew came to Japan with a view to learning Japanese literature.,本文学を勉強するために日本にやってきた。
238,be located in ～,～に位置する ～にある,Our school is located in the center of the city.,私たちの学校は市の中心にある。
239,expose A to B,A をB にさらす A をB に触れさせる,It can be dangerous to expose your skin to strong sunshine.,肌を強い日光にさらすことは場合によっては危険だ。
239,expose A to B,A をB にさらす A をB に触れさせる,It is important for parents to expose their children to various activities.,親が子供に様々な活動に触れさせることは重要だ。
240,at first sight,一見したところ,"At first sight this game may sound exciting, but you will find it boring.","一見したところ, このゲームは面白そうだが, つまらないものだと分かりますよ。"
241,to one’s taste,～の好みに合っている,She gave me a necktie which was completely to my taste.,彼女は私の好みにピッタリ合っているネクタイをくれた。
241,to one’s taste,～の好みに合っている,I danced to the music. ,私は音楽に合わせて踊った。
241,to one’s taste,～の好みに合っている,I’m looking for the key to the safe.,私は金庫の鍵を探している。
242,to the effect that S V ～,～という趣旨の ～という内容の,I got a letter to the effect that he would resign.,私は彼が辞職するという内容の手紙を受け取った。
243,as of ～,～現在,The ruling party has secured 50 seats as of 5 o’clock.,与党は 5 時現在で 50 議席確保している。
244,blow ～ up,① ～を爆破させる ② ～が爆破する,They blew up the bridge because it was about to collapse.,"崩壊しかけていたので, 彼らはその橋を爆破した。"
245,bring ～ home to 人,～を人に痛感させる,The movie brought home to me the realities of the war.,その映画は私に戦争の現実を痛感させた。
246,S come home to 人,S が人に痛感する,The realities of the war came home to me when I saw the movie.,"その映画を見たとき, 戦争の現実が私に痛感した。"
247,come near to Ving / come close to Ving,もう少しで～しそうになる,I came close to being hit by the car.,私はもう少しで車に轢かれるところだった。
248,come to terms with ～,① （不快なことや困難なこと）を受け入れる,She had to come to terms with the reality and get over the shock.,"彼女は現実を受け入れて, ショックを克服しなければならなかった"
249,dispose of ～,～を処分する,We are going to dispose of all the old furniture in our house.,家の中にある古い家具を全て処分するつもりだ。
250,go out of one’s way to V,わざわざV する,He went out of his way to give us some advice.,彼はわざわざ私たちにいくつか助言をしてくれた。
251,allow for ～,～を考慮する ～を見越す,We should allow for the possibility of heavy traffic when we estimate travel time.,"移動時間を推定するには, 渋滞の可能性を考慮するべきだ。"
252,in proportion to ～,～に比例して 【注】 proportion は「比率」「割合」の意味。,The wages should be paid in proportion to the work done.,賃金はやった仕事に比例して支払われるべきだ。
253,in return for ～,～のお返しに ～と引き換えに,He received a ticket in return for the money.,彼はお金と引き換えにチケットを受け取った。
254,needless to say,言うまでもなく,"Needless to say, I don’t want to work here any more.","言うまでもなく, もはやここでは働きたくない。"
255,it goes without saying that S V,S V なのは言うまでもない,It goes without saying that honesty is the best policy.,正直が最善の策であることは言うまでもない。
256,be acquainted with ～,～と知り合いである,I have been acquainted with him for more than twenty years.,彼とは 20 年以上の知り合いだ。
257,make progress,進歩する,She has recently made great progress in German.,彼女は最近ドイツ語がすごく進歩した。
258,on top of that,さらに ← on top of that,"I was really tired. On top of that, I was drunk.",私は本当に疲れていた。 さらに酔っぱらっていた
259,in the long run,長い目で見ると 結局,I believe that your effort will pay in the long run.,あなたの努力は長い目で見ると報われると思います。
260,now (that) S V,今はもう～なので,"Now that you are a high school student, you must stop this childish behavior.","もう高校生なので, このような子供じみたふるまいを止めなさい。"
261,be suitable for ～,～に適している ～にふさわしい,His speech was suitable for the occasion.,彼のスピーチはその場にふさわしいものだった。
262,by accident,偶然に,We didn’t plan it. We met by accident.,私たちは計画していたのではない。偶然出会ったのだ。
263,give way (to～),（～に）譲る （～に）屈する,I had to give way to a big truck in front of me.,私は前にいた大型トラックに譲歩しなければならなかった。
264,go to sleep,眠りにつく,"I went to sleep at nine o’clock, and woke up at six.","私は 9 時に就寝し, 6 時に目が覚めた。"
264,fall asleep,（うっかり）眠る,The class was so boring that I fell asleep.,"授業がとても退屈だったので, 寝てしまった。"
265,live from hand to mouth,その日暮らしをする,In those days we lived from hand to mouth.,"その当時, 私たちはその日暮らしをしていた。"
266,watch out,気をつける,Watch out. There is a car coming.,気をつけろ。 車が来ているぞ。
267,in haste,急いで,"Written in haste, this essay is full of mistakes.","急いで書かれたので, この作文は間違いだらけだ。"
268,in the company of ～,～と一緒にいる,I feel relaxed in the company of him.,彼と一緒にいると落ち着く。
269,hold ～ back,（前に出ようとするもの）を抑える・阻止する,We found it difficult to hold back our tears at the funeral.,葬式ではなかなか涙をこらえることができなかった。
270,hold one’s tongue,黙る,Hold your tongue and listen to me.,"黙って, 私の言うことを聞きなさい。"
271,keep track of ～,～を追跡する ～の動向を把握する ～を見失わない,Be sure to keep track of his movements.,彼の動きを見失わないように。
271,lose track of ～,～を見失う,I lost track of the man in the woods.,林の中でその男を見失った。
272,take one’s time,（急がず時間をかけて）ゆっくりやる,Take your time. I’m not in a hurry.,ゆっくりやって下さい。 私は急いでいません。
273,in the absence of ～,～がなければ,"In the absence of air and water, no living thing could live on this planet.","空気と水がなければ, どんな生き物もこの星で生きられないだろう。"
274,be particular about ～,（嗜好や好み）にうるさい,My father is particular about what he wears.,私の父は着るものにうるさい。
275,be superior to ～,～よりも優れている,I think this car is superior to that one in quality.,私はこの車のほうがあの車よりも質が良いと思う。
276,be willing to V,① 嫌がらずに～する ② 進んで～する,Scientists are willing to discard their theories if someone disproves them.,"科学者は誰かが反証したら, 自分の理論を捨てるのを厭わない。"
277,be reluctant to V,～したがらない,They are reluctant to do business with Japanese people.,彼らは日本人とビジネスをしたがらない。
278,in mind,考えがあって,I have something in mind.,私には考えがある。
278,in mind,考えがあって,I have something on my mind.,私には気掛かりなことがある。
278,in mind,考えがあって,"When he drinks, he often goes out of his mind.","お酒を飲むと, 彼はよく気が狂ってしまう。"
279,What has become of ～?,～はどうなったのか?,What has become of that singer?,あの歌手はどうなったの?
280,specialize in ～,① (お店などが)～を専門に扱う ② ～を専攻する,This shop specializes in books on history.,このお店は歴史の本を専門に扱っている。
281,be sensitive to ～,～に敏感である,Parents are required to be sensitive to the needs of their children.,親は子供の必要に敏感であることが求められる。
282,take ～ into account,～を考慮に入れる,He never takes into account the fact that I am really busy.,彼は私が本当に忙しいということを全く考慮に入れていない。
283,～ come about,～が生じる ～が起こる,How did this change come about?,どうしてこのような変化が起こったのですか。
283,～ come about,～が生じる ～が起こる,What has brought about this change?,なぜこのような変化が起きたのですか。
284,How come S V ～?,どうして～?,How did it come about that summer in Tokyo is hotter than it used to be?,どうして東京の夏は昔よりも暑くなったのですか。
284,How come S V ～?,どうして～?,How come summer in Tokyo is hotter than it used to be?,どうして東京の夏は昔よりも暑くなったのですか。
285,refrain from Ving ～,～することを慎む,Refrain from smoking here.,ここでの喫煙はご遠慮下さい。
286,lose sight of ～,～を見失う,We lost sight of the yacht in the ocean.,私たちは海の中でそのヨットを見失った。
287,in practice,実際には,"In theory this plan seems possible, but in practice it is very difficult.","理論上は, この企画は可能なように思えるが, 実際はとても難しい。"
288,these days,最近,These days more and more people are traveling abroad.,今日ますます多くの人が海外旅行をしている。
288,in those days,その当時 ← in those days,"I was born in the 1950s. In those days, very few people traveled abroad.","私は 1950 年代に生まれた。 その当時, 海外旅行をする人々はとても少なかった。"
289,run out of ～,～がなくなる ～を使い果たす,"I ran out of money, so I asked my parents for help.","私はお金を使い果たしてしまったので, 両親に助けを求めた"
290,be short of ～,～が不足している 必要金額 今の所持金,I am short of money now. Can you lend me some?,今金欠なんです。少しお金を貸してくれませんか。
291,turn ～ off,（電気やガス）をけす,Be sure to turn off the light before going to bed.,就寝前に必ず電気を消してください。
292,to the point,的を射た,What he said at the meeting was to the point.,彼の会議での発言は的を射たものだった。
292,beside the point,的はずれな,What he said at the meeting was beside the point.,彼の会議での発言は的はずれだった。
293,once (and)for all,きっぱりと,He told me once and for all that he would give up smoking.,彼はきっぱりとタバコを止めると私に言った。
294,rule ～ out,～を除外する ～を排除する,We cannot rule out the possibility of a riot.,暴動の可能性は排除できない。
295,by nature,①生まれつき ② 根は,He is emotional and aggressive by nature.,"彼は生まれつき感情が激しく, 積極的だ。"
296,for the time being,当分の間,We are going to stay at this hotel for the time being.,"当分の間, 我々はこのホテルに泊まるつもりだ。"
297,back and forth,前後に あちこちに,I saw the man walking back and forth on the street.,私はその男性が通りをあちこちに歩いているのを目にした。
297,here and there,ところどころ ちらほら,You can find convenience stores here and there in this town.,この町ではコンビニがところどころにあります。
298,sooner or later,遅かれ早かれ いずれ,We’ll have to tackle the problem sooner or later.,遅かれ早かれその問題に取り組まなければならなくなる。
299,behind one’s back,影で 人のいないところで,You should not say bad things about others behind their back.,影で人の悪口を言うべきではない。
300,make a living,生活費を稼ぐ,It’s hard to make a decent living as a musician.,ミュージシャンとしてまともに生活費を稼ぐことは難しい。
301,under construction,建設中,A new building is under construction.,新しい建物が建設中だ
301,under construction,建設中,A new building is being constructed.,新しい建物が建設中だ
302,under pressure,プレッシャーを受けて 重圧を受けて,Many people try to avoid working under pressure.,"多くの人は, プレッシャーを受けて仕事をするのを避けようとする。"
302,under stress,ストレスを受けて ストレスを感じて,Many people in this workplace are under a lot of stress every day.,この職場の多くの人は毎日大きなストレスを受けている。
303,deal with ～,（困難なこと）に対処する,His job is to deal with customer complaints.,彼の仕事は顧客の苦情に対処することだ。
303,cope with ～,～にうまく対処する,He will cope with difficult situations.,彼は困難な状況にうまく対処できるだろう。
304,on behalf of ～,～を代表して,Linda gave a thank-you speech to the teachers and parents on behalf of all the graduating students.,"リンダは全卒業生を代表して, 教員と父母に感謝の辞を述べた。"
305,go from bad to worse,ますます悪化する,Things went from bad to worse.,事態はますます悪化した。
306,deprive O of ～,O から～を奪う,The disaster deprived us of our happiness.,その災害で我々は幸福を奪われた。
306,deprive O of ～,O から～を奪う,The man robbed the elderly woman of her handbag.,"その男は老婦人を襲って, ハンドバッグを奪った。"
306,deprive O of ～,O から～を奪う,The man robbed the bank.,その男は銀行を襲った。
306,deprive O of ～,O から～を奪う,The men robbed the ship.,その男たちは船を襲った。
307,see 人 off,人を見送る,We saw him off at the airport.,私たちは空港で彼を見送った。
308,hang up,電話を切る,"Don’t hang up. Hold on, please.",電話を切らないで。 そのままお待ちください。
308,hold the line,電話を切らずに待つ,Would you please hold the line for a few seconds? I’ll transfer your call.,しばらくの間切らずにお待ちいただけますか。電話をおつなぎいたします。
309,on end,続けて たて続けに 連続して,I worked for three days on end.,私は 3 日間続けて仕事をした。
309,on end,続けて たて続けに 連続して,I won three times in a row.,私は 3 連勝した。
310,in danger,危険な状態で,This motorbike rider is dangerous. The man is in danger.,このバイク走者は危険だ。 その男性の身が危ない。
311,painful,痛い 苦しい,This injection was very painful to the child.,この注射はその子供にはとても痛かった。
311,in pain,痛い 苦しい,The child was in a lot of pain after the injection.,"注射の後, その子供はとても痛がっていた。"
312,in need of ～,～を必要としている,A wheelchair is necessary for him.,彼には車椅子が必要だ。
312,in need of ～,～を必要としている,He is in desperate need of a wheelchair.,彼は車椅子を切実に必要としている。
312,in need of ～,～を必要としている,We are raising money to help people in need.,私たちは困っている人を助けるためにお金を集めている。
313,from ～ point of view,～の観点から,He cannot see the matter from our point of view.,彼は我々の観点からその問題を見ることができない。
314,break up,① 解散する ② （パーティなどが）終わる ③ 〈夫婦や恋人などが〉別れる,The meeting finally broke up at ten.,会議がようやく 10 時に終わった。
314,break up,① 解散する ② （パーティなどが）終わる ③ 〈夫婦や恋人などが〉別れる,My wife and I broke up last year.,妻と私は昨年別れました。
315,break out,（戦争や火事などが）勃発する,The war broke out when I was in England.,"私がイギリスにいたときに, その戦争が勃発した。"
316,call on 人,人を訪ねる,"I called on my grandparents last Sunday, but they were not at home.","この前の日曜日に祖父母を訪ねたが,彼らは家にいなかった。"
316,call on 人,人を訪ねる,She called on her father to take her to the amusement park.,彼女はお父さんに遊園地に連れて行ってとせがんだ
317,scary,怖い 恐ろしい,The robber was very scary. I was very scared of the robber.,その強盗はとても怖かった。
317,be scared of ～,～に怖がる ～に怖える,I was very scared of the robber.,私はその強盗がとても怖かった。
318,advantageous,有利な disadvantageous:不利な,The condition is advantageous for me.,その条件は私にとって有利だ。
318,at an advantage,有利な状態（立場）にある at a disadvantage:不利な状態（立場）にある,I am at an advantage compared to others.,私は他の人と比べると有利な状態にある。
318,advantageous,有利な disadvantageous:不利な,The debt is disadvantageous to me.,借金が私には不利だ。
,advantageous,有利な disadvantageous:不利な,I am at a disadvantage compared to others.,私は他の人と比べると不利な状態にある。
318,advantageous,有利な disadvantageous:不利な,The huge debt put the man at a disadvantage.,"巨額の借金のせいで, その男性は不利な状態になった。"
319,keep ～ off,～に近寄らない ～から離れている,There was a sign saying “Keep off the grass.”,「芝生への立ち入り禁止」と書かれた札があった。
320,die out,絶滅する,Dinosaurs died out millions of years ago.,恐竜は何百万年も前に絶滅した。
320,become extinct,絶滅する,A lot of plants and animals in this area are becoming extinct.,この地域の多くの動植物は絶滅しつつある。
321,take to 人,～を（すぐに）好きになる,"When I introduced Bob to Nancy, they seemed to take to each other immediately.","ボブをナンシーに紹介したとき, 彼らはすぐにお互いを気に入ったようだった。"
322,make do with ～,～で済ます ～で我慢する,I usually make do with a glass of vegetable juice for breakfast.,"普段, 朝食にはコップ一杯の野菜ジュースで済ませている。"
323,do without ～,～なしでやっていく ～なしで済ます ～なしで我慢する,It is difficult to do without a car in this business.,この仕事は車なしでやっていくことは難しい。
324,believe in ～,～の（存在・人格・価値・能力）を信じている,My daughter still believes in Santa Claus. ,娘はまだサンタクロースの存在を信じている。
324,believe in ～,～の（存在・人格・価値・能力）を信じている,You can do it if you believe in yourself.,"自分の力を信じているなら, それができるよ。"
324,believe in ～,～の（存在・人格・価値・能力）を信じている,I believe you.,君の言ったことを信じている。
325,tell on 人,人の体に悪影響を及ぼす 人の体にこたえる,Hard work was beginning to tell on him.,激務が彼の体に悪影響を及ぼし始めていた。
326,tell 人 off,～を叱りつける,The teacher told me off for coming to school late.,先生は遅刻してきたことに対して私を叱りつけた。
326,tell 人 off,～を叱りつける,John got told off for sleeping during the class.,"ジョンは授業中, 居眠りをしていたので叱られた。"
327,fall victim to ～,～の犠牲になる fall,She fell victim to the disaster.,彼女は災害の犠牲になった。
328,put ～ out,（火やタバコなど）を消化する 消す,The firefighters put out the fire in an hour.,消防隊員は一時間で消火した。
329,fall behind ～,～に遅れをとる,Tom began to fall behind the rest of the students in his studies.,トムは他の生徒よりも勉強が遅れ始めた。
330,come to,意識が回復する,"I was hit by a motorbike on the street, and when I came to, I was on the hospital bed.","私はその通りでバイクに轢かれ, 意識が回復したときは, 病院のベッドの上だった。"
331,on and off,① 断続的に ② 時々,The light is flashing on and off.,明かりが点滅している。
331,on and off,① 断続的に ② 時々,It rained on and off yesterday.,昨日は雨が降ったりやんだりしていた。
332,have a flat tire,タイヤがパンクしている,We had a flat tire on our way to the destination.,目的地に行く途中タイヤがパンクしていた。
333,pull one’s leg,人をからかう,Tomorrow is not a holiday. Don’t believe George. He’s just pulling your leg.,明日は休日じゃないよ。 ジョージの言うことを信じないで。 君をからかっているだけだよ。
334,stay up,（寝ないで）起きている,My son stayed up late last night.,息子は昨夜遅くまで起きていた。
,stay up,（寝ないで）起きている,I was waiting up for my husband to come home.,私は夫が帰宅するのを起きて待っていました。
335,make it to ～,（どうにか）～に間に合う たどり着く,I made it to the station before the train left.,電車が出る前に私は駅にたどり着いた。
335,make it to ～,（どうにか）～に間に合う たどり着く,My son has an important exam next week. I hope he will make it.,息子は来週重要な試験がある。うまくいってくれるといいのですが。
336,just around the corner,すぐ近くに来ている すぐ近くにある,The summer vacation is just around the corner.,夏休みはすぐそこまで来ている。
336,just around the corner,すぐ近くに来ている すぐ近くにある,Tom is coming just around the corner.,トムがすぐそこまで来ている。
337,have words with ～,～と口論する,I often have words with my wife about my son.,私はよく息子のことで妻と口論する。
338,wait on ～,～に仕える,Have you been waited on?,御用をお伺いしておりますか。
339,fall on 日時や曜日,～に当たる,My birthday falls on a Sunday this year.,"今年, 私の誕生日は日曜日に当たる。"
340,fall apart,① バラバラになる ② 破綻する,I heard a dish fall apart in the distance.,遠くでお皿が落ちて割れる音が聞こえた。
341,take in ～,① ～を理解する ② ～を騙す ③ （子供など）を引き取る・預かる,It took me a while to take in what this book said.,この本の内容を理解するのにしばらく時間がかかった。
